2026-04-04  10:42:20.045 | info | 557p3wxxdt2dk3 | Finished.
2026-04-04  10:42:20.044 | error | 557p3wxxdt2dk3 | {\n    "error_type": "<class 'RuntimeError'>",\n    "error_message": "cuDNN error: CUDNN_STATUS_NOT_INITIALIZED",\n    "error_traceback": "Traceback (most recent call last):\n  File \"/usr/local/lib/python3.11/dist-packages/runpod/serverless/modules/rp_job.py\", line 182, in run_job\n    handler_return = handler(job)\n                     ^^^^^^^^^^^^\n  File \"/app/handler.py\", line 248, in handler\n    return handle_diarize(job_input)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^\n  File \"/app/handler.py\", line 102, in handle_diarize\n    pipeline.to(device)\n  File \"/usr/local/lib/python3.11/dist-packages/pyannote/audio/core/pipeline.py\", line 496, in to\n    _ = inference.to(device)\n        ^^^^^^^^^^^^^^^^^^^^\n  File \"/usr/local/lib/python3.11/dist-packages/pyannote/audio/core/inference.py\", line 177, in to\n    self.model.to(device)\n  File \"/usr/local/lib/python3.11/dist-packages/lightning/fabric/utilities/device_dtype_mixin.py\", line 59, in to\n    return super().to(*args, **kwargs)\n           ^^^^^^^^^^^^^^^^^^^^^^^^^^^\n  File \"/usr/local/lib/python3.11/dist-packages/torch/nn/modules/module.py\", line 1174, in to\n    return self._apply(convert)\n           ^^^^^^^^^^^^^^^^^^^^\n  File \"/usr/local/lib/python3.11/dist-packages/torch/nn/modules/module.py\", line 780, in _apply\n    module._apply(fn)\n  File \"/usr/local/lib/python3.11/dist-packages/torch/nn/modules/rnn.py\", line 228, in _apply\n    self._init_flat_weights()\n  File \"/usr/local/lib/python3.11/dist-packages/torch/nn/modules/rnn.py\", line 163, in _init_flat_weights\n    self.flatten_parameters()\n  File \"/usr/local/lib/python3.11/dist-packages/torch/nn/modules/rnn.py\", line 215, in flatten_parameters\n    torch._cudnn_rnn_flatten_weight(\nRuntimeError: cuDNN error: CUDNN_STATUS_NOT_INITIALIZED\n",\n    "hostname": "557p3wxxdt2dk3-64411019",\n    "worker_id": "557p3wxxdt2dk3",\n    "runpod_version": "1.8.2"\n}
2026-04-04  10:42:20.044 | error | 557p3wxxdt2dk3 | Captured Handler Exception
2026-04-04  10:42:19.663 | info | 557p3wxxdt2dk3 | _client.py          :1038 2026-04-04 02:42:19,663 HTTP Request: HEAD https://huggingface.co/pyannote/speaker-diarization-community-1/resolve/main/embedding/pytorch_model.bin "HTTP/1.1 302 Found"\n
2026-04-04  10:42:18.852 | info | 557p3wxxdt2dk3 | _client.py          :1038 2026-04-04 02:42:18,852 HTTP Request: HEAD https://huggingface.co/pyannote/speaker-diarization-community-1/resolve/main/plda/plda.npz "HTTP/1.1 302 Found"\n
2026-04-04  10:42:18.697 | info | 557p3wxxdt2dk3 | _client.py          :1038 2026-04-04 02:42:18,696 HTTP Request: HEAD https://huggingface.co/pyannote/speaker-diarization-community-1/resolve/main/plda/xvec_transform.npz "HTTP/1.1 302 Found"\n
2026-04-04  10:42:18.500 | info | 557p3wxxdt2dk3 | _client.py          :1038 2026-04-04 02:42:18,499 HTTP Request: HEAD https://huggingface.co/pyannote/speaker-diarization-community-1/resolve/main/segmentation/pytorch_model.bin "HTTP/1.1 302 Found"\n
2026-04-04  10:42:18.343 | info | 557p3wxxdt2dk3 | _client.py          :1038 2026-04-04 02:42:18,342 HTTP Request: HEAD https://huggingface.co/pyannote/speaker-diarization-community-1/resolve/main/config.yaml "HTTP/1.1 200 OK"\n
2026-04-04  10:42:18.343 | info | 557p3wxxdt2dk3 | Started.
2026-04-04  10:42:18.342 | info | 557p3wxxdt2dk3 | Jobs in progress: 1
2026-04-04  10:42:18.135 | info | 557p3wxxdt2dk3 | Jobs in queue: 1
2026-04-04  10:42:05.608 | info | 557p3wxxdt2dk3 | Finished.
2026-04-04  10:42:01.463 | info | 557p3wxxdt2dk3 | transcribe.py       :895  2026-04-04 02:42:01,463 VAD filter removed 00:21.532 of audio\n
2026-04-04  10:42:01.288 | info | 557p3wxxdt2dk3 | transcribe.py       :881  2026-04-04 02:42:01,287 Processing audio with duration 01:22.268\n
2026-04-04  10:41:58.180 | info | 557p3wxxdt2dk3 | _client.py          :1038 2026-04-04 02:41:58,180 HTTP Request: GET https://huggingface.co/api/models/Systran/faster-whisper-large-v3/revision/main "HTTP/1.1 200 OK"\n
2026-04-04  10:41:58.180 | info | 557p3wxxdt2dk3 | Started.
2026-04-04  10:41:58.180 | info | 557p3wxxdt2dk3 | Jobs in progress: 1
2026-04-04  10:41:57.960 | info | 557p3wxxdt2dk3 | Jobs in queue: 1
